# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	398
#@/user_id	da1390ef-815e-4a51-b807-fa295c9dead2
qiang zhi 	強制	c=0 d=0.0737123 t=398
qiang zhi tui hui 	強制退回	c=1 d=0.740818 t=398
qie huan 	切換	c=1 d=0.217691 t=398
qie huan shu ru fa 	切換輸入法	c=1 d=0.218712 t=398
qing dan 	清單	c=0 d=0.0414783 t=398
qing wei ke 	輕微課	c=1 d=0.431711 t=398
qiu dao 	求導	c=1 d=0.418952 t=398
qu 	區	c=1 d=0.778801 t=398
qu bie 	區別	c=1 d=0.869358 t=398
qu chu 	去除	c=4 d=1.05485 t=398
qu chu 	取出	c=1 d=0.217621 t=398
qu xiao 	取消	c=2 d=0.614634 t=398
re 	熱	c=1 d=0.191092 t=398
ruan jian 	軟件	c=3 d=1.78939 t=398
san 	三	c=0 d=0.1 t=370
shang 	上	c=1 d=0.831104 t=398
shang chuan 	上傳	c=1 d=0.987199 t=398
shang chuan dao 	上傳到	c=1 d=1 t=365
shang chuan zhi 	上傳之	c=1 d=0.644036 t=398
shang shu 	上述	c=0 d=0.0529935 t=398
shang shu cao zuo 	上述操作	c=1 d=0.532592 t=398
shang yi ge 	上一個	c=1 d=0.818731 t=398
she zhi 	設置	c=8 d=2.52469 t=398
she zhi wei 	設置爲	c=1 d=0.212248 t=398
she zhi zi ti 	設置字體	c=1 d=0.229997 t=398
she zhi zi ti da xiao 	設置字體大小	c=1 d=0.210136 t=398
shen me 	什麼	c=0 d=0.0923116 t=398
sheng cheng 	生成	c=2 d=1.956 t=343
shi 	是	c=1 d=0.935975 t=398
shi bai 	失敗	c=1 d=0.470011 t=398
shi chang 	市場	c=0 d=0.0433874 t=398
shi pin 	視頻	c=1 d=0.40657 t=398
shi shen me 	是什麼	c=1 d=0.927743 t=398
shi yong 	使用	c=16 d=6.79909 t=398
shi yong de 	使用的	c=1 d=0.2334 t=398
shou dong 	手動	c=0 d=0.14878 t=398
shou dong tong bu 	手動同步	c=1 d=0.980199 t=398
shou zhi 	手指	c=1 d=0.384812 t=398
shu ji 	書籍	c=1 d=1 t=370
shu ru 	輸入	c=1 d=0.320999 t=398
shu ru fa 	輸入法	c=3 d=0.687298 t=398
shu ru fu hao 	輸入符號	c=1 d=0.241714 t=398
shu xue 	數學	c=0 d=0.190484 t=393
shu xue ci hui 	數學詞彙	c=1 d=1 t=394
shui ping 	水平	c=0 d=0.0212248 t=398
shui ping fang xiang 	水平方向	c=1 d=0.213312 t=398
sou gou 	搜狗	c=1 d=1 t=381
sou suo 	搜索	c=1 d=1.099 t=369
suan fa 	算法	c=0 d=0.0644036 t=398
suan fa fu wu 	算法服務	c=1 d=0.647265 t=398
suo you 	所有	c=1 d=0.355226 t=398
tang 	唐	c=0 d=0.1 t=370
te shu 	特殊	c=0 d=0.0535124 t=398
te shu fu hao 	特殊符號	c=3 d=0.808957 t=398
te shu zi fu 	特殊字符	c=1 d=0.299692 t=398
ti ji 	體積	c=1 d=0.425283 t=398
ti jiao 	提交	c=3 d=2.21614 t=398
ti jiao dao 	提交到	c=1 d=0.628135 t=398
ti jiao ji lu 	提交記錄	c=1 d=0.802519 t=398
ti jiao xin xi 	提交信息	c=1 d=0.794534 t=398
tian jia 	添加	c=5 d=1.2928 t=398
tian jia ci ku 	添加詞庫	c=1 d=1 t=379
tong bu 	同步	c=2 d=2.08533 t=398
tong bu de 	同步的	c=1 d=1 t=349
tong bu wen jian 	同步文件	c=3 d=2.34756 t=398
tong guo 	通過	c=1 d=0.529935 t=398
tu biao 	圖標	c=1 d=0.891366 t=398
tui hui 	退回	c=0 d=0.0737123 t=398
tui song 	推送	c=0 d=0.121534 t=398
tui song dao 	推送到	c=2 d=1.18584 t=398
wang pan 	網盤	c=1 d=1.0802 t=367
wang pan sou suo 	網盤搜索	c=1 d=1 t=368
wei 	爲	c=6 d=1.62737 t=398
wei fen fang cheng 	微分方程	c=1 d=0.427415 t=398
wei zhi 	位置	c=1 d=0.97531 t=398
wen 	文	c=2 d=0.519859 t=398
wen dang 	文檔	c=0 d=0.0458406 t=398
wen jian 	文件	c=4 d=2.58603 t=398
wen jian jia 	文件夾	c=1 d=0.789409 t=398
wen ti 	問題	c=0 d=0.071177 t=398
wu 	無	c=0 d=0.098704 t=398
wu cao zuo 	無操作	c=1 d=0.276651 t=398
wu wen ti 	無問題	c=1 d=0.715338 t=398
xia lai 	下來	c=0 d=0.0579842 t=398
xian 	先	c=1 d=0.701173 t=398
xiang guan zhi shi 	相關知識	c=1 d=0.839457 t=398
xiang mu 	項目	c=1 d=0.640824 t=398
xiao guo 	效果	c=1 d=0.198891 t=398
xiao shuo 	小說	c=1 d=1 t=377
xie 	寫	c=1 d=0.408608 t=398
xin xi 	信息	c=0 d=0.0790571 t=398
xing 	行	c=0 d=0.1 t=375
xiu gai 	修改	c=5 d=2.55661 t=398
xu 	需	c=0 d=0.1 t=332
xu tong bu wen jian 	需同步文件	c=1 d=1 t=333
xuan ci 	選詞	c=0 d=0.0575335 t=398
xuan qu 	選取	c=1 d=0.348192 t=398
xuan ze 	選擇	c=1 d=0.511709 t=398
